,OBJECTID,SEMEL_YISHUV,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,STAT_2022,YISHUV_STAT_2022,ROVA,TAT_ROVA,COD_TIFKUD,SHAPE_Length,SHAPE_Area
3567,3568,9000,באר שבע,BE'ER SHEVA,611.0,90000611,6.0,61.0,1.0,3718.65584255972,516699.950314993
3568,3569,9000,באר שבע,BE'ER SHEVA,612.0,90000612,6.0,61.0,1.0,3172.61701463228,523736.36575792
3569,3570,9000,באר שבע,BE'ER SHEVA,613.0,90000613,6.0,61.0,1.0,6321.58423206792,1683794.24668411
3570,3571,9000,באר שבע,BE'ER SHEVA,614.0,90000614,6.0,61.0,1.0,3671.63762773139,691360.652827022
3571,3572,9000,באר שבע,BE'ER SHEVA,615.0,90000615,6.0,61.0,4.0,5460.03773729415,744549.646928172
3572,3573,9000,באר שבע,BE'ER SHEVA,621.0,90000621,6.0,62.0,2.0,9041.85012727381,4897509.24154682
3573,3574,9000,באר שבע,BE'ER SHEVA,622.0,90000622,6.0,62.0,1.0,4428.14530914812,1111946.1012412
3574,3575,9000,באר שבע,BE'ER SHEVA,623.0,90000623,6.0,62.0,4.0,16223.7789528316,7589228.52708052
3575,3576,9000,באר שבע,BE'ER SHEVA,624.0,90000624,6.0,62.0,1.0,5331.68605343016,1233789.78785099
3576,3577,9000,באר שבע,BE'ER SHEVA,625.0,90000625,6.0,62.0,2.0,11483.7870257562,3390086.50411772
3577,3578,9000,באר שבע,BE'ER SHEVA,626.0,90000626,6.0,62.0,2.0,2563.91253922487,266123.90149827
3578,3579,9000,באר שבע,BE'ER SHEVA,631.0,90000631,6.0,63.0,1.0,3041.65147203697,520753.108650269
3579,3580,9000,באר שבע,BE'ER SHEVA,632.0,90000632,6.0,63.0,1.0,3620.9637333652,533239.180424623
3580,3581,9000,באר שבע,BE'ER SHEVA,633.0,90000633,6.0,63.0,1.0,2586.61844418223,328582.321491756
3581,3582,9000,באר שבע,BE'ER SHEVA,634.0,90000634,6.0,63.0,6.0,7788.10689797464,1095539.63858896
3582,3583,9000,באר שבע,BE'ER SHEVA,711.0,90000711,7.0,71.0,1.0,2107.0096170416,158236.066662184
3583,3584,9000,באר שבע,BE'ER SHEVA,712.0,90000712,7.0,71.0,1.0,1976.27252883019,172771.666835492
3584,3585,9000,באר שבע,BE'ER SHEVA,713.0,90000713,7.0,71.0,1.0,1839.71264459911,191364.516590769
3585,3586,9000,באר שבע,BE'ER SHEVA,714.0,90000714,7.0,71.0,1.0,1760.82721021857,183477.326622195
3586,3587,9000,באר שבע,BE'ER SHEVA,715.0,90000715,7.0,71.0,1.0,2147.48439251654,177298.777686622
3587,3588,9000,באר שבע,BE'ER SHEVA,721.0,90000721,7.0,72.0,1.0,2725.97776368284,360071.856845472
3588,3589,9000,באר שבע,BE'ER SHEVA,722.0,90000722,7.0,72.0,1.0,3234.30614678446,458984.587456656
3589,3590,9000,באר שבע,BE'ER SHEVA,723.0,90000723,7.0,72.0,1.0,2100.374848865,254054.073531879
3590,3591,9000,באר שבע,BE'ER SHEVA,724.0,90000724,7.0,72.0,1.0,5683.54182731844,1265903.4350281
3591,3592,9000,באר שבע,BE'ER SHEVA,725.0,90000725,7.0,72.0,1.0,2847.51312333916,376769.834965713
3592,3593,9000,באר שבע,BE'ER SHEVA,726.0,90000726,7.0,72.0,5.0,15871.563997915,8889550.51346408
3593,3594,9000,באר שבע,BE'ER SHEVA,727.0,90000727,7.0,72.0,4.0,25185.4822365481,19563493.1633462
3594,3595,9000,באר שבע,BE'ER SHEVA,811.0,90000811,8.0,81.0,1.0,3042.37626369626,453759.376799939
3595,3596,9000,באר שבע,BE'ER SHEVA,812.0,90000812,8.0,81.0,1.0,4727.97043597154,682113.520162727
3596,3597,9000,באר שבע,BE'ER SHEVA,813.0,90000813,8.0,81.0,6.0,6902.05530623507,1225348.6205528
3597,3598,9000,באר שבע,BE'ER SHEVA,814.0,90000814,8.0,81.0,4.0,5505.85848397926,1767253.12117097
3598,3599,9000,באר שבע,BE'ER SHEVA,815.0,90000815,8.0,81.0,1.0,5905.40631671054,1107224.82240654
3599,3600,9000,באר שבע,BE'ER SHEVA,816.0,90000816,8.0,81.0,1.0,2612.53512654179,341623.826847759
3600,3601,9000,באר שבע,BE'ER SHEVA,817.0,90000817,8.0,81.0,1.0,3661.87631021378,717810.043482867
3601,3602,9000,באר שבע,BE'ER SHEVA,821.0,90000821,8.0,82.0,1.0,2309.70034317303,258343.288094397
3602,3603,9000,באר שבע,BE'ER SHEVA,822.0,90000822,8.0,82.0,1.0,3104.59891171452,435197.478640626
3603,3604,9000,באר שבע,BE'ER SHEVA,823.0,90000823,8.0,82.0,1.0,2530.76268558729,392440.905086045
3604,3605,9000,באר שבע,BE'ER SHEVA,824.0,90000824,8.0,82.0,1.0,3044.92159057047,471786.701141017
3605,3606,9000,באר שבע,BE'ER SHEVA,825.0,90000825,8.0,82.0,4.0,3414.65051328463,465631.825854374
3606,3607,9000,באר שבע,BE'ER SHEVA,826.0,90000826,8.0,82.0,4.0,12125.2948036981,7595187.82891318
3607,3608,9000,באר שבע,BE'ER SHEVA,827.0,90000827,8.0,82.0,4.0,15286.0116143479,9855150.03579264
